
"Date","Price","Open","High","Low","Change %"
"Feb 01, 2018","1,078.28","1,083.51","1,084.65","1,074.58","-0.42%"
"Jan 31, 2018","1,082.88","1,079.38","1,085.77","1,075.49","0.32%"
"Jan 30, 2018","1,079.43","1,082.55","1,084.89","1,078.01","-0.28%"
"Jan 29, 2018","1,082.49","1,086.42","1,088.91","1,081.84","-0.41%"
"Jan 26, 2018","1,086.98","1,087.85","1,090.26","1,085.14","-0.06%"
"Jan 25, 2018","1,087.64","1,094.64","1,097.72","1,083.49","-0.66%"
"Jan 24, 2018","1,094.86","1,090.66","1,097.49","1,087.96","0.39%"
"Jan 23, 2018","1,090.57","1,087.91","1,094.07","1,085.58","0.24%"
"Jan 22, 2018","1,087.92","1,085.85","1,090.44","1,085.05","-0.16%"
"Jan 19, 2018","1,089.71","1,084.29","1,091.90","1,083.45","0.50%"
"Jan 18, 2018","1,084.24","1,088.33","1,091.36","1,083.65","-0.38%"
"Jan 17, 2018","1,088.41","1,091.83","1,096.31","1,085.12","-0.30%"
"Jan 16, 2018","1,091.71","1,092.81","1,096.03","1,089.76","-0.10%"
"Jan 15, 2018","1,092.85","1,097.77","1,100.79","1,091.30","-0.49%"
"Jan 12, 2018","1,098.22","1,098.82","1,104.26","1,092.36","-0.08%"
"Jan 11, 2018","1,099.09","1,102.14","1,105.27","1,095.50","-0.29%"
"Jan 10, 2018","1,102.24","1,099.91","1,105.43","1,096.19","0.22%"
"Jan 09, 2018","1,099.82","1,103.38","1,104.13","1,097.74","-0.32%"
"Jan 08, 2018","1,103.37","1,097.52","1,104.03","1,096.12","0.54%"
"Jan 05, 2018","1,097.43","1,096.14","1,098.53","1,092.10","0.13%"
"Jan 04, 2018","1,096.04","1,092.96","1,098.70","1,086.05","0.28%"
"Jan 03, 2018","1,092.97","1,092.72","1,097.09","1,088.70","0.03%"
"Jan 02, 2018","1,092.62","1,084.69","1,093.97","1,084.15","0.74%"
"Jan 01, 2018","1,084.55","1,085.36","1,086.00","1,084.28","-0.10%"
"Dec 29, 2017","1,085.64","1,084.09","1,087.96","1,080.08","0.12%"
"Dec 28, 2017","1,084.33","1,082.83","1,085.05","1,080.32","0.15%"
"Dec 27, 2017","1,082.73","1,081.90","1,083.96","1,078.46","0.08%"
"Dec 26, 2017","1,081.88","1,074.59","1,082.44","1,072.64","0.69%"
"Dec 25, 2017","1,074.43","1,076.04","1,076.59","1,073.26","-0.07%"
"Dec 22, 2017","1,075.18","1,066.90","1,077.98","1,066.54","0.78%"
"Dec 21, 2017","1,066.81","1,065.89","1,069.01","1,064.34","0.08%"
"Dec 20, 2017","1,065.98","1,065.50","1,069.56","1,062.86","0.03%"
"Dec 19, 2017","1,065.62","1,070.97","1,072.62","1,063.88","-0.50%"
"Dec 18, 2017","1,070.94","1,067.98","1,072.23","1,065.80","0.28%"
"Dec 15, 2017","1,067.94","1,063.28","1,069.40","1,062.52","0.38%"
"Dec 14, 2017","1,063.85","1,062.06","1,066.32","1,057.98","0.19%"
"Dec 13, 2017","1,061.78","1,059.60","1,064.64","1,055.49","0.21%"
"Dec 12, 2017","1,059.58","1,055.47","1,060.34","1,054.08","0.39%"
"Dec 11, 2017","1,055.47","1,060.46","1,061.73","1,052.52","-0.52%"
"Dec 08, 2017","1,060.94","1,059.05","1,064.71","1,057.93","0.16%"
"Dec 07, 2017","1,059.24","1,071.10","1,071.88","1,056.47","-1.10%"
"Dec 06, 2017","1,071.03","1,070.48","1,075.08","1,069.08","0.05%"
"Dec 05, 2017","1,070.51","1,075.49","1,077.55","1,067.52","-0.46%"
"Dec 04, 2017","1,075.49","1,077.94","1,080.76","1,071.58","-0.11%"
"Dec 01, 2017","1,076.66","1,070.64","1,081.35","1,068.62","0.54%"
"Nov 30, 2017","1,070.91","1,083.56","1,086.07","1,067.84","-1.16%"
"Nov 29, 2017","1,083.43","1,092.67","1,094.30","1,081.78","-0.85%"
"Nov 28, 2017","1,092.77","1,087.74","1,094.02","1,085.07","0.45%"
"Nov 27, 2017","1,087.88","1,079.74","1,089.37","1,078.65","0.75%"
"Nov 24, 2017","1,079.78","1,089.38","1,091.41","1,078.34","-0.89%"
